#OTU ID	taxonomy	Confidence
85c1563becd510311e2fdf8dc00fb850	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.99977548
6517ff823ee09ee6e1049ec4759a25fb	Unassigned	0.11321307
829f2773d79836b23429123f879d2ff1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Chloridium;s__Chloridium_aseptatum	0.998426552
dde6aac7d181034a5ddb0b181a490f4b	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.999049545
3dfda5784277882a68ef1164b1fab12c	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.988371558
f78cd9c16b8fb52115d52532e47e447d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sarocladium;s__Sarocladium_strictum	0.999941549
0bf9cb2a0d863fb96edfa2e1982656b2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__unidentified	0.999934978
35426744993d1ecb6df167c42763606e	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.966534154
bdd6ff065bff60ee4c48599aa77907b2	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_algeriense	0.982955935
328bf4c0fa51942471aa466a8c1b5396	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma	0.995056351
77313f6a15cc90a29081fdf1fd7336f4	k__Fungi;p__Ascomycota	0.948140475
bb9b89b35a1abbbffb9fd8af2cbdd8a5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Agrocybe	0.998645472
e66236c4d8e1f40bcae29dd140fc287b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_vinaceobrunnea	0.99923231
a5249b2aabb0f3939f7fd00cac5e9575	k__Fungi;p__Ascomycota;c__Dothideomycetes	0.954393248
ed7320f0547c9befc654d4d6250c99fd	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Pleurophragmium;s__unidentified	0.96739184
8adfe5056378e090abb3c22558cc93f1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.999725731
338074c5ea6ce4af8d50b2faa995d1d2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	0.940330049
bdc704b3b390909bf1053d9164877a1f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_obsoleta	0.957024644
b8723c0531f104a7e020845f7a85898e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lindgomycetaceae	0.999778246
feab8284ddd3ad9f34c14cf9d7407be9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Deconica;s__Deconica_xeroderma	0.999577007
277c674c6589cc44632294afe6ce6e20	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.994668763
